Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 13:44:00+00:00
Name: 1, dtype: object",AAPL,"Ticker
AAPL    194.880005
Name: 0, dtype: object","Ticker
AAPL    194.940994
Name: 1, dtype: object","Ticker
AAPL    0.060989
dtype: object"
"Ticker
    2025-04-17 13:47:00+00:00
Name: 4, dtype: object",AAPL,"Ticker
AAPL    194.769302
Name: 3, dtype: object","Ticker
AAPL    194.869995
Name: 4, dtype: object","Ticker
AAPL    0.100693
dtype: object"
"Ticker
    2025-04-17 13:48:00+00:00
Name: 5, dtype: object",AAPL,"Ticker
AAPL    194.869995
Name: 4, dtype: object","Ticker
AAPL    194.875
Name: 5, dtype: object","Ticker
AAPL    0.005005
dtype: object"
"Ticker
    2025-04-17 13:49:00+00:00
Name: 6, dtype: object",AAPL,"Ticker
AAPL    194.875
Name: 5, dtype: object","Ticker
AAPL    195.110001
Name: 6, dtype: object","Ticker
AAPL    0.235001
dtype: object"
"Ticker
    2025-04-17 13:50:00+00:00
Name: 7, dtype: object",AAPL,"Ticker
AAPL    195.110001
Name: 6, dtype: object","Ticker
AAPL    195.690002
Name: 7, dtype: object","Ticker
AAPL    0.580002
dtype: object"
"Ticker
    2025-04-17 13:51:00+00:00
Name: 8, dtype: object",AAPL,"Ticker
AAPL    195.690002
Name: 7, dtype: object","Ticker
AAPL    195.729996
Name: 8, dtype: object","Ticker
AAPL    0.039993
dtype: object"
"Ticker
    2025-04-17 13:52:00+00:00
Name: 9, dtype: object",AAPL,"Ticker
AAPL    195.729996
Name: 8, dtype: object","Ticker
AAPL    195.960007
Name: 9, dtype: object","Ticker
AAPL    0.230011
dtype: object"
"Ticker
    2025-04-17 13:54:00+00:00
Name: 11, dtype: object",AAPL,"Ticker
AAPL    195.850006
Name: 10, dtype: object","Ticker
AAPL    196.049896
Name: 11, dtype: object","Ticker
AAPL    0.19989
dtype: object"
"Ticker
    2025-04-17 13:58:00+00:00
Name: 15, dtype: object",AAPL,"Ticker
AAPL    195.729996
Name: 14, dtype: object","Ticker
AAPL    195.800003
Name: 15, dtype: object","Ticker
AAPL    0.070007
dtype: object"
"Ticker
    2025-04-17 13:59:00+00:00
Name: 16, dtype: object",AAPL,"Ticker
AAPL    195.800003
Name: 15, dtype: object","Ticker
AAPL    196.059998
Name: 16, dtype: object","Ticker
AAPL    0.259995
dtype: object"
"Ticker
    2025-04-17 14:01:00+00:00
Name: 18, dtype: object",AAPL,"Ticker
AAPL    196.039993
Name: 17, dtype: object","Ticker
AAPL    196.300003
Name: 18, dtype: object","Ticker
AAPL    0.26001
dtype: object"
"Ticker
    2025-04-17 14:04:00+00:00
Name: 21, dtype: object",AAPL,"Ticker
AAPL    196.029999
Name: 20, dtype: object","Ticker
AAPL    196.182999
Name: 21, dtype: object","Ticker
AAPL    0.153
dtype: object"
"Ticker
    2025-04-17 14:05:00+00:00
Name: 22, dtype: object",AAPL,"Ticker
AAPL    196.182999
Name: 21, dtype: object","Ticker
AAPL    196.289993
Name: 22, dtype: object","Ticker
AAPL    0.106995
dtype: object"
"Ticker
    2025-04-17 14:09:00+00:00
Name: 26, dtype: object",AAPL,"Ticker
AAPL    195.740005
Name: 25, dtype: object","Ticker
AAPL    195.827805
Name: 26, dtype: object","Ticker
AAPL    0.087799
dtype: object"
"Ticker
    2025-04-17 14:11:00+00:00
Name: 28, dtype: object",AAPL,"Ticker
AAPL    195.809998
Name: 27, dtype: object","Ticker
AAPL    195.960007
Name: 28, dtype: object","Ticker
AAPL    0.150009
dtype: object"
"Ticker
    2025-04-17 14:12:00+00:00
Name: 29, dtype: object",AAPL,"Ticker
AAPL    195.960007
Name: 28, dtype: object","Ticker
AAPL    196.279999
Name: 29, dtype: object","Ticker
AAPL    0.319992
dtype: object"
"Ticker
    2025-04-17 14:15:00+00:00
Name: 32, dtype: object",AAPL,"Ticker
AAPL    195.869995
Name: 31, dtype: object","Ticker
AAPL    195.929993
Name: 32, dtype: object","Ticker
AAPL    0.059998
dtype: object"
"Ticker
    2025-04-17 14:17:00+00:00
Name: 34, dtype: object",AAPL,"Ticker
AAPL    195.737503
Name: 33, dtype: object","Ticker
AAPL    195.940002
Name: 34, dtype: object","Ticker
AAPL    0.202499
dtype: object"
"Ticker
    2025-04-17 14:19:00+00:00
Name: 36, dtype: object",AAPL,"Ticker
AAPL    195.820007
Name: 35, dtype: object","Ticker
AAPL    196.029999
Name: 36, dtype: object","Ticker
AAPL    0.209991
dtype: object"
"Ticker
    2025-04-17 14:21:00+00:00
Name: 38, dtype: object",AAPL,"Ticker
AAPL    195.690201
Name: 37, dtype: object","Ticker
AAPL    195.75
Name: 38, dtype: object","Ticker
AAPL    0.059799
dtype: object"
"Ticker
    2025-04-17 14:22:00+00:00
Name: 39, dtype: object",AAPL,"Ticker
AAPL    195.75
Name: 38, dtype: object","Ticker
AAPL    196.009995
Name: 39, dtype: object","Ticker
AAPL    0.259995
dtype: object"
"Ticker
    2025-04-17 14:23:00+00:00
Name: 40, dtype: object",AAPL,"Ticker
AAPL    196.009995
Name: 39, dtype: object","Ticker
AAPL    196.050507
Name: 40, dtype: object","Ticker
AAPL    0.040512
dtype: object"
"Ticker
    2025-04-17 14:25:00+00:00
Name: 42, dtype: object",AAPL,"Ticker
AAPL    195.899994
Name: 41, dtype: object","Ticker
AAPL    196.048904
Name: 42, dtype: object","Ticker
AAPL    0.148911
dtype: object"
"Ticker
    2025-04-17 14:26:00+00:00
Name: 43, dtype: object",AAPL,"Ticker
AAPL    196.048904
Name: 42, dtype: object","Ticker
AAPL    196.220001
Name: 43, dtype: object","Ticker
AAPL    0.171097
dtype: object"
